direccion,lat,lon,precio,habitaciones,banos,mes_venta,anio_venta,dist_estacion
10 Daniels Place,-32.2513906,115.8381918,394000.0,4,2,11,2020,1900.0
11 Heathcote Way,-32.254032,115.845861,335000.0,4,2,09,2019,2100.0
12 Dewsbury Drive,-32.2432767,115.8440983,360000.0,4,2,10,2020,919.0
13 Chieftain Street,-32.25102,115.84184,370000.0,4,2,12,2019,1800.0
14 Champion Drive,-32.247044,115.845337,290000.0,4,2,04,2019,1400.0
16 Mickle Way,-32.24676,115.8378,360000.0,4,2,10,2020,1400.0
16 Silverline Bend,-32.24185626,115.8440777,350000.0,4,2,11,2020,763.0
17 Greenham Way,-32.251396,115.837682,300000.0,4,2,07,2020,1900.0
17 John Forrest Circuit,-32.25486169,115.8487689,368000.0,4,2,10,2020,2300.0
18 Parkfield Boulevard,-32.24884,115.84556,380000.0,4,2,04,2020,1600.0
21 Waterfields Drive,-32.24062799,115.8492218,355000.0,4,2,10,2019,876.0
253 Johnson Road,-32.25158,115.8478,350000.0,4,2,03,2019,1900.0
277 Johnson Road,-32.25401,115.847798,372000.0,4,2,06,2019,2200.0
283 Johnson Road,-32.254521,115.847798,380000.0,4,2,10,2019,2200.0
2A Lilac Pass,-32.25145,115.84943,277000.0,4,2,04,2020,1900.0
3 Cape York Ramble,-32.24861754,115.8505194,370000.0,4,2,09,2020,1700.0
31 Cape York Ramble,-32.24874041,115.8518577,360000.0,4,2,10,2019,1700.0
31 Keyham Street,-32.24033142,115.8402435,315000.0,4,2,04,2019,648.0
34 Burkett Terrace,-32.250402,115.835837,330000.0,4,2,09,2019,1800.0
36 Moombaki Avenue,-32.2474104,115.8400632,380000.0,4,2,12,2019,1400.0
36 Wanstead Vista,-32.24780169,115.8365698,300000.0,4,2,10,2019,1500.0
38 Shannon Pass,-32.25331071,115.8518857,350000.0,4,2,01,2020,2200.0
5 Drummore Way,-32.25149794,115.8458667,390000.0,4,2,12,2019,1800.0
6 Lakewood Grove,-32.24471038,115.8497686,385000.0,4,2,09,2020,1300.0
6 Yirel Close,-32.25104927,115.8399696,400000.0,4,2,06,2019,1800.0
6 Yoorn Way,-32.24770434,115.8390965,365000.0,4,2,11,2019,1400.0
67 Sanctuary Drive,-32.24564701,115.8507416,362500.0,4,2,10,2019,1400.0
74 Centennial Avenue,-32.25256783,115.8515452,329000.0,4,2,01,2019,2100.0
75 Sanctuary Drive,-32.24564796,115.8499691,380000.0,4,2,12,2020,1400.0
8 Camborne Approach,-32.24247389,115.8446845,326000.0,4,2,09,2019,841.0
8 Drummore Way,-32.25186097,115.8461173,360000.0,4,2,04,2019,1900.0
8 Kalbarri Crescent,-32.25412458,115.8507847,370000.0,4,2,12,2020,2300.0
8 Napoleon Way,-32.24909,115.84665,316000.0,4,2,11,2020,1600.0
9 Champion Drive,-32.247409,115.845795,329000.0,4,2,06,2019,1400.0
9 Kawoor Mews,-32.24743806,115.8403918,380000.0,6,3,02,2020,1400.0
90 Centennial Avenue,-32.25257424,115.8496942,376000.0,4,2,02,2019,2100.0
93 Centennial Avenue,-32.25298,115.84895,350000.0,4,2,02,2019,2100.0
